vintage,from_state,to_state,count,probability
2007Q2,CURRENT,PAID_OFF,8281,0.014742036612090927
2007Q2,30_DPD,60_DPD,3670,0.1981320520434055
2007Q2,60_DPD,90_PLUS,2498,0.38307008127587794
2007Q2,90_PLUS,90_PLUS,25600,0.9083812362500887
2007Q2,90_PLUS,DEFAULTED,922,0.0327159179618196
2007Q2,DEFAULTED,DEFAULTED,3866,0.9992246058413027
2007Q2,60_DPD,60_DPD,2457,0.3767827020395645
2007Q2,60_DPD,CURRENT,598,0.09170372642232787
2007Q2,30_DPD,PAID_OFF,102,0.005506667386492469
2007Q2,90_PLUS,CURRENT,1066,0.03782556241572635
2007Q2,60_DPD,30_DPD,932,0.14292286459132034
2007Q2,CURRENT,90_PLUS,69,0.00012283546989907908
2007Q2,90_PLUS,60_DPD,311,0.011035412674756937
2007Q2,CURRENT,60_DPD,85,0.00015131905712205396
2007Q2,30_DPD,CENSORED_RPL,32,0.0017275819251741078
2007Q2,90_PLUS,30_DPD,157,0.005570931800439998
2007Q2,CURRENT,CENSORED_RPL,165,0.00029373699323692826
2007Q2,30_DPD,90_PLUS,22,0.0011877125735571992
2007Q2,60_DPD,DEFAULTED,9,0.0013801564177273425
2007Q2,90_PLUS,PAID_OFF,74,0.0026257895110354127
2007Q2,90_PLUS,CENSORED_DEFECT,51,0.0018096657440919736
2007Q2,60_DPD,PAID_OFF,20,0.0030670142616163166
2007Q2,CURRENT,CENSORED_DEFECT,34,6.052762284882158e-05
2007Q2,30_DPD,DEFAULTED,4,0.00021594774064676348
2007Q2,60_DPD,CENSORED_DEFECT,3,0.00046005213924244745
2007Q2,DEFAULTED,CENSORED_DEFECT,3,0.0007753941586973378
2007Q2,60_DPD,CENSORED_RPL,4,0.0006134028523232633
2007Q2,CURRENT,DEFAULTED,6,1.0681345208615574e-05
2007Q2,30_DPD,CENSORED_DEFECT,3,0.0001619608054850726
2007Q2,90_PLUS,CENSORED_RPL,1,3.548364204101909e-05
