reporting_month,state,rows,weighted_rows
201209,30_DPD,1607,53670.2102
201209,60_DPD,567,18794.4422
201209,90_PLUS,3112,102500.8463
201209,CENSORED_DEFECT,4,119.9226
201209,CURRENT,34502,1173782.4583
201209,DEFAULTED,573,18895.4807
201209,PAID_OFF,961,32717.084000000003
201210,30_DPD,1373,45661.7793
201210,60_DPD,571,19004.4944
201210,90_PLUS,3006,99164.931
201210,CENSORED_DEFECT,4,127.3258
201210,CURRENT,33592,1142373.8712
201210,DEFAULTED,582,19134.18
201210,PAID_OFF,1106,37946.9567
201211,30_DPD,1360,45518.630000000005
201211,60_DPD,521,17386.4145
201211,90_PLUS,2955,97642.5683
201211,CENSORED_DEFECT,3,89.4514
201211,CURRENT,32639,1109392.1608
201211,DEFAULTED,583,19038.1279
201211,PAID_OFF,924,31663.66
201212,30_DPD,1413,47198.3407
201212,60_DPD,510,17174.1257
201212,90_PLUS,2962,98039.3106
201212,CENSORED_DEFECT,8,242.9067
201212,CURRENT,31521,1071377.8662
201212,DEFAULTED,556,18131.5672
201212,PAID_OFF,966,32815.270000000004
201301,30_DPD,1359,45285.776600000005
201301,60_DPD,498,16600.9138
201301,90_PLUS,2834,93647.6932
201301,CENSORED_DEFECT,4,117.5078
201301,CURRENT,30643,1041835.6216000001
201301,DEFAULTED,575,18855.8568
201301,PAID_OFF,938,31920.3506
201302,30_DPD,1407,46769.6688
201302,60_DPD,502,16726.0723
201302,90_PLUS,2743,90656.6383
201302,CENSORED_DEFECT,9,274.5246
201302,CURRENT,29676,1009391.8082000001
201302,DEFAULTED,565,18475.5591
201302,PAID_OFF,903,30421.1744
201303,30_DPD,1250,41603.819
201303,60_DPD,469,15413.6126
201303,90_PLUS,2658,88114.61779999999
201303,CENSORED_DEFECT,6,183.78050000000002
201303,CURRENT,28836,980566.8008
201303,DEFAULTED,546,17866.3568
201303,PAID_OFF,1028,34981.9926
201304,30_DPD,1154,38219.4545
201304,60_DPD,420,14122.3441
201304,90_PLUS,2547,84305.3006
201304,CENSORED_DEFECT,8,242.7947
201304,CURRENT,28006,952330.4997
201304,DEFAULTED,552,18237.575
201304,PAID_OFF,970,32841.1115
201305,30_DPD,1091,36272.3013
201305,60_DPD,420,13879.6296
201305,90_PLUS,2456,81427.3115
201305,CENSORED_DEFECT,8,272.2171
201305,CURRENT,27086,920757.6677
201305,DEFAULTED,541,17901.95
201305,PAID_OFF,962,32896.5103
201306,30_DPD,1270,42354.5886
201306,60_DPD,422,14048.223
201306,90_PLUS,2409,79778.5775
201306,CENSORED_DEFECT,10,313.4518
201306,CURRENT,26102,887509.098
201306,DEFAULTED,511,16880.4802
201306,PAID_OFF,755,25560.6149
201307,30_DPD,1210,40262.3313
201307,60_DPD,423,13916.1763
201307,90_PLUS,2313,76819.7139
201307,CENSORED_DEFECT,7,224.90890000000002
201307,CURRENT,25320,860967.0098
201307,DEFAULTED,514,16954.2668
201307,PAID_OFF,834,28352.4686
201308,30_DPD,1176,39188.967599999996
201308,60_DPD,433,14264.9723
201308,90_PLUS,2244,74534.4045
201308,CENSORED_DEFECT,6,185.1399
201308,CURRENT,24592,836479.95
201308,DEFAULTED,514,16899.6612
201308,PAID_OFF,735,24720.714500000002
201309,30_DPD,1158,38606.8773
201309,60_DPD,434,14355.4698
201309,90_PLUS,2178,72245.6765
201309,CENSORED_DEFECT,6,194.63020000000003
201309,CURRENT,24041,818013.918
201309,DEFAULTED,514,16846.2942
201309,PAID_OFF,554,18614.4853
201310,30_DPD,1169,39117.5901
201310,60_DPD,414,13647.0142
201310,90_PLUS,2108,69930.3607
201310,CENSORED_DEFECT,22,695.0738
201310,CURRENT,23419,797341.3479
201310,DEFAULTED,517,16981.0932
201310,PAID_OFF,595,19729.5516
201311,30_DPD,1213,40599.402
201311,60_DPD,437,14662.8678
201311,90_PLUS,2023,67019.2114
201311,CENSORED_DEFECT,1,30.2331
201311,CURRENT,22900,779955.1246
201311,DEFAULTED,512,16842.2667
201311,PAID_OFF,455,15027.6008
201312,30_DPD,1244,41510.9416
201312,60_DPD,465,15730.187399999999
201312,90_PLUS,1944,64492.847200000004
201312,CENSORED_DEFECT,20,658.8745
201312,CURRENT,22422,763588.5332
201312,DEFAULTED,504,16539.8938
201312,PAID_OFF,420,14314.8966
201401,30_DPD,1122,37213.7888
201401,60_DPD,426,14126.7212
201401,90_PLUS,1914,63711.2206
201401,CENSORED_DEFECT,11,372.8138
201401,CURRENT,22149,754797.8375
201401,DEFAULTED,500,16314.2471
201401,PAID_OFF,381,12812.527900000001
201402,30_DPD,1096,36541.3188
201402,60_DPD,374,12489.9243
201402,90_PLUS,1855,61720.529
201402,CENSORED_DEFECT,5,157.7881
